 SMPL    1952.1   2029.4 ;
 LOAD AG1      ;
   0.00000000000E+00  0.00000000000E+00  0.37320968000E+00  0.37429111000E+00
   0.37536790000E+00  0.37643996000E+00  0.37734099000E+00  0.37807159000E+00
   0.37879842000E+00  0.37952144000E+00  0.38002065000E+00  0.38029766000E+00
   0.38057326000E+00  0.38084741000E+00  0.38102753000E+00  0.38111426000E+00
   0.38120056000E+00  0.38128638000E+00  0.38114964000E+00  0.38079226000E+00
   0.38043691000E+00  0.38008348000E+00  0.37932509000E+00  0.37816522000E+00
   0.37701193000E+00  0.37586515000E+00  0.37398085000E+00  0.37136857000E+00
   0.36877522000E+00  0.36620067000E+00  0.36378293000E+00  0.36151898000E+00
   0.35926936000E+00  0.35703401000E+00  0.35494081000E+00  0.35298862000E+00
   0.35104891000E+00  0.34912161000E+00  0.34719845000E+00  0.34527873000E+00
   0.34337048000E+00  0.34147352000E+00  0.33821947000E+00  0.33363279000E+00
   0.32908943000E+00  0.32458880000E+00  0.32056471000E+00  0.31700798000E+00
   0.31348106000E+00  0.30998351000E+00  0.30654374000E+00  0.30316069000E+00
   0.29980506000E+00  0.29647656000E+00  0.29329470000E+00  0.29025764000E+00
   0.28724460000E+00  0.28425534000E+00  0.28137597000E+00  0.27860619000E+00
   0.27585948000E+00  0.27313554000E+00  0.27064096000E+00  0.26837301000E+00
   0.26612376000E+00  0.26389309000E+00  0.26218899000E+00  0.26100504000E+00
   0.25983085000E+00  0.25866625000E+00  0.25708746000E+00  0.25510126000E+00
   0.25313326000E+00  0.25118325000E+00  0.24907483000E+00  0.24681094000E+00
   0.24456854000E+00  0.24234748000E+00  0.24003213000E+00  0.23762395000E+00
   0.23523837000E+00  0.23287502000E+00  0.23213697000E+00  0.23300151000E+00
   0.23385773000E+00  0.23470576000E+00  0.23504446000E+00  0.23488099000E+00
   0.23471906000E+00  0.23455870000E+00  0.23433395000E+00  0.23404581000E+00
   0.23376039000E+00  0.23347768000E+00  0.23313638000E+00  0.23273726000E+00
   0.23234187000E+00  0.23195017000E+00  0.23175988000E+00  0.23176819000E+00
   0.23177640000E+00  0.23178458000E+00  0.23195739000E+00  0.23229260000E+00
