 SMPL    1952.1   2017.4 ;
 LOAD CS       ;
   0.21677500000E+03  0.22017500000E+03  0.22307500000E+03  0.22625000000E+03
   0.22857500000E+03  0.23130000000E+03  0.23270000000E+03  0.23097500000E+03
   0.23312500000E+03  0.23717500000E+03  0.24130000000E+03  0.24420000000E+03
   0.24707500000E+03  0.24887500000E+03  0.25142500000E+03  0.25642500000E+03
   0.25890000000E+03  0.26137500000E+03  0.26410000000E+03  0.26755000000E+03
   0.26857500000E+03  0.27087500000E+03  0.27285000000E+03  0.27580000000E+03
   0.27547500000E+03  0.27947500000E+03  0.28327500000E+03  0.28510000000E+03
   0.28857500000E+03  0.29290000000E+03  0.29685000000E+03  0.30042500000E+03
   0.30312500000E+03  0.30647500000E+03  0.30612500000E+03  0.30907500000E+03
   0.31217500000E+03  0.31672500000E+03  0.31772500000E+03  0.32332500000E+03
   0.32637500000E+03  0.33125000000E+03  0.33410000000E+03  0.33830000000E+03
   0.33965000000E+03  0.34340000000E+03  0.34940000000E+03  0.35417500000E+03
   0.35987500000E+03  0.36487500000E+03  0.36965000000E+03  0.37470000000E+03
   0.37902500000E+03  0.38477500000E+03  0.39007500000E+03  0.39670000000E+03
   0.40080000000E+03  0.40510000000E+03  0.40840000000E+03  0.41282500000E+03
   0.41665000000E+03  0.42067500000E+03  0.42640000000E+03  0.42995000000E+03
   0.43657500000E+03  0.44340000000E+03  0.44905000000E+03  0.45400000000E+03
   0.45805000000E+03  0.46367500000E+03  0.46737500000E+03  0.47320000000E+03
   0.47825000000E+03  0.48130000000E+03  0.48677500000E+03  0.48922500000E+03
   0.49260000000E+03  0.49757500000E+03  0.50225000000E+03  0.51015000000E+03
   0.51875000000E+03  0.52507500000E+03  0.53220000000E+03  0.54172500000E+03
   0.54867500000E+03  0.55335000000E+03  0.55705000000E+03  0.55915000000E+03
   0.55835000000E+03  0.56382500000E+03  0.56662500000E+03  0.57232500000E+03
   0.57765000000E+03  0.58485000000E+03  0.58770000000E+03  0.59597500000E+03
   0.60292500000E+03  0.60695000000E+03  0.61437500000E+03  0.62290000000E+03
   0.63032500000E+03  0.63277500000E+03  0.63962500000E+03  0.64575000000E+03
   0.65600000000E+03  0.66582500000E+03  0.67057500000E+03  0.67405000000E+03
   0.68092500000E+03  0.68517500000E+03  0.68790000000E+03  0.69387500000E+03
   0.69492500000E+03  0.69052500000E+03  0.69825000000E+03  0.70857500000E+03
   0.70697500000E+03  0.71145000000E+03  0.71080000000E+03  0.71145000000E+03
   0.71427500000E+03  0.71910000000E+03  0.72597500000E+03  0.73812500000E+03
   0.74770000000E+03  0.75717500000E+03  0.76782500000E+03  0.77557500000E+03
   0.77925000000E+03  0.78575000000E+03  0.79595000000E+03  0.80507500000E+03
   0.81970000000E+03  0.82752500000E+03  0.83897500000E+03  0.84625000000E+03
   0.84940000000E+03  0.85497500000E+03  0.86277500000E+03  0.87262500000E+03
   0.88542500000E+03  0.89455000000E+03  0.90282500000E+03  0.91157500000E+03
   0.92422500000E+03  0.93232500000E+03  0.94575000000E+03  0.95382500000E+03
   0.96025000000E+03  0.96420000000E+03  0.97095000000E+03  0.98020000000E+03
   0.98555000000E+03  0.99760000000E+03  0.10056750000E+04  0.10033000000E+04
   0.10030500000E+04  0.10131750000E+04  0.10173750000E+04  0.10237250000E+04
   0.10406250000E+04  0.10488250000E+04  0.10601000000E+04  0.10719000000E+04
   0.10759000000E+04  0.10811500000E+04  0.10935250000E+04  0.11007500000E+04
   0.11099000000E+04  0.11177750000E+04  0.11254250000E+04  0.11320750000E+04
   0.11401250000E+04  0.11518250000E+04  0.11604500000E+04  0.11670000000E+04
