SMPL 1960.1 2017.4;
LOAD XID CC D1 D2 D3 D4;
 1960.1    1.00    1.00    0.00    0.00    0.00
 1960.2    0.00  -99.00    1.00    0.00    0.00
 1960.3    0.00  -99.00    0.00    1.00    0.00
 1960.4    0.00  -99.00    0.00    0.00    1.00
 1961.1    1.00    1.00    0.00    0.00    0.00
 1961.2    0.00  -99.00    1.00    0.00    0.00
 1961.3    0.00  -99.00    0.00    1.00    0.00
 1961.4    0.00  -99.00    0.00    0.00    1.00
 1962.1    1.00    1.00    0.00    0.00    0.00
 1962.2    0.00  -99.00    1.00    0.00    0.00
 1962.3    0.00  -99.00    0.00    1.00    0.00
 1962.4    0.00  -99.00    0.00    0.00    1.00
 1963.1    1.00    1.00    0.00    0.00    0.00
 1963.2    0.00  -99.00    1.00    0.00    0.00
 1963.3    0.00  -99.00    0.00    1.00    0.00
 1963.4    0.00  -99.00    0.00    0.00    1.00
 1964.1    1.00    1.00    0.00    0.00    0.00
 1964.2    0.00  -99.00    1.00    0.00    0.00
 1964.3    0.00  -99.00    0.00    1.00    0.00
 1964.4    0.00  -99.00    0.00    0.00    1.00
 1965.1    1.00    1.00    0.00    0.00    0.00
 1965.2    0.00  -99.00    1.00    0.00    0.00
 1965.3    0.00  -99.00    0.00    1.00    0.00
 1965.4    0.00  -99.00    0.00    0.00    1.00
 1966.1    1.00    1.00    0.00    0.00    0.00
 1966.2    0.00  -99.00    1.00    0.00    0.00
 1966.3    0.00  -99.00    0.00    1.00    0.00
 1966.4    0.00  -99.00    0.00    0.00    1.00
 1967.1    1.00    1.00    0.00    0.00    0.00
 1967.2    0.00  -99.00    1.00    0.00    0.00
 1967.3    0.00  -99.00    0.00    1.00    0.00
 1967.4    0.00  -99.00    0.00    0.00    1.00
 1968.1    1.00    1.00    0.00    0.00    0.00
 1968.2    0.00  -99.00    1.00    0.00    0.00
 1968.3    0.00  -99.00    0.00    1.00    0.00
 1968.4    0.00  -99.00    0.00    0.00    1.00
 1969.1    1.00    1.00    0.00    0.00    0.00
 1969.2    0.00  -99.00    1.00    0.00    0.00
 1969.3    0.00  -99.00    0.00    1.00    0.00
 1969.4    0.00  -99.00    0.00    0.00    1.00
 1970.1    1.00    1.00    0.00    0.00    0.00
 1970.2    0.00  -99.00    1.00    0.00    0.00
 1970.3    0.00  -99.00    0.00    1.00    0.00
 1970.4    0.00  -99.00    0.00    0.00    1.00
 1971.1    1.00    1.00    0.00    0.00    0.00
 1971.2    0.00  -99.00    1.00    0.00    0.00
 1971.3    0.00  -99.00    0.00    1.00    0.00
 1971.4    0.00  -99.00    0.00    0.00    1.00
 1972.1    1.00    1.00    0.00    0.00    0.00
 1972.2    0.00  -99.00    1.00    0.00    0.00
 1972.3    0.00  -99.00    0.00    1.00    0.00
 1972.4    0.00  -99.00    0.00    0.00    1.00
 1973.1    1.00    1.00    0.00    0.00    0.00
 1973.2    0.00  -99.00    1.00    0.00    0.00
 1973.3    0.00  -99.00    0.00    1.00    0.00
 1973.4    0.00  -99.00    0.00    0.00    1.00
 1974.1    1.00    1.00    0.00    0.00    0.00
 1974.2    0.00  -99.00    1.00    0.00    0.00
 1974.3    0.00  -99.00    0.00    1.00    0.00
 1974.4    0.00  -99.00    0.00    0.00    1.00
 1975.1    1.00    1.00    0.00    0.00    0.00
 1975.2    0.00  -99.00    1.00    0.00    0.00
 1975.3    0.00  -99.00    0.00    1.00    0.00
 1975.4    0.00  -99.00    0.00    0.00    1.00
 1976.1    1.00    1.00    0.00    0.00    0.00
 1976.2    0.00  -99.00    1.00    0.00    0.00
 1976.3    0.00  -99.00    0.00    1.00    0.00
 1976.4    0.00  -99.00    0.00    0.00    1.00
 1977.1    1.00    1.00    0.00    0.00    0.00
 1977.2    0.00  -99.00    1.00    0.00    0.00
 1977.3    0.00  -99.00    0.00    1.00    0.00
 1977.4    0.00  -99.00    0.00    0.00    1.00
 1978.1    1.00    1.00    0.00    0.00    0.00
 1978.2    0.00  -99.00    1.00    0.00    0.00
 1978.3    0.00  -99.00    0.00    1.00    0.00
 1978.4    0.00  -99.00    0.00    0.00    1.00
 1979.1    1.00    1.00    0.00    0.00    0.00
 1979.2    0.00  -99.00    1.00    0.00    0.00
 1979.3    0.00  -99.00    0.00    1.00    0.00
 1979.4    0.00  -99.00    0.00    0.00    1.00
 1980.1    1.00    1.00    0.00    0.00    0.00
 1980.2    0.00  -99.00    1.00    0.00    0.00
 1980.3    0.00  -99.00    0.00    1.00    0.00
 1980.4    0.00  -99.00    0.00    0.00    1.00
 1981.1    1.00    1.00    0.00    0.00    0.00
 1981.2    0.00  -99.00    1.00    0.00    0.00
 1981.3    0.00  -99.00    0.00    1.00    0.00
 1981.4    0.00  -99.00    0.00    0.00    1.00
 1982.1    1.00    1.00    0.00    0.00    0.00
